neuron_id,hit_peak,hit_auc,hit_latency,miss_peak,miss_auc,miss_latency,fa_peak,fa_auc,fa_latency,cr_peak,cr_auc,cr_latency
0588_20180828_5_timeseries.mat,0.3133650887401559,4.932129726343922,25,0.20390382191787162,-0.3730160931461594,5,0.08307967651681743,0.49634500632098416,15,0.07500263063176986,-0.6973216428126644,11
0588_20180828_6_timeseries.mat,0.19841284067985748,1.767207981772039,8,0.17839440233850232,0.018109847150804423,1,0.19293917954114,1.8375729838633372,15,0.136122036706506,-0.0822654609945398,8
0588_20180831_11_timeseries.mat,0.1602016582920731,1.2883621058829782,12,0.1073119515656597,0.9346844675154126,4,0.14896050437761213,0.8653088590950251,10,0.02944111584482426,-0.6284155356592527,19
0588_20180831_4_timeseries.mat,0.053834391191631324,0.7056356609502914,7,0.2391275681891582,0.3519460630831653,1,0.07763609812127632,0.7303119561567324,10,0.04890995514808669,0.38719506911705776,3
0588_20180831_5_timeseries.mat,0.251560673945272,2.1245910462194177,12,0.0830501275550988,-0.2642730426163982,39,0.13118068988391884,1.335161776165387,10,0.024309844545967563,-0.20828787771672852,10
0588_20180904_10_timeseries.mat,0.9844548523748576,15.503949623413648,14,0.18089475908449718,-1.4083484887794055,25,0.8216370977044445,11.650563598177914,11,0.5847169300916815,10.928164069677868,18
0588_20180904_11_timeseries.mat,0.9520348777246194,9.64085980536652,12,1.2791884711810522,10.779955456033347,16,1.1354283229940831,10.11916938409897,14,1.3622077257642824,14.312356756335394,12
0588_20180904_12_timeseries.mat,0.4074540752573265,6.246832091479935,14,0.3976883074002607,3.531242190733749,20,0.4838747117560365,6.513565225593452,13,0.42224250692543724,6.194908727082077,13
0588_20180904_13_timeseries.mat,0.21035361794867202,1.838100837819508,13,0.21469280423064316,1.2571627041934768,9,0.3180478141529838,3.3260769862902193,13,0.24694767563543732,3.0928419153428246,13
0588_20180904_14_timeseries.mat,0.8529176656917781,13.969300040141388,12,0.3091535483087812,-0.01212760571035601,34,0.5970380472578842,8.670736456051186,11,0.2775974391599096,4.556946973514622,9
0588_20180904_15_timeseries.mat,0.472743962335143,7.909991778288064,18,0.31273661819951876,0.014652969644105604,12,0.43407112665249975,5.189304492517914,19,0.3623627590244606,3.1301894287440444,22
0588_20180904_20_timeseries.mat,0.08835698669125844,0.4253703034334971,15,0.16490106816802705,0.08623272459954018,27,0.09314796402903593,1.098780346569291,13,0.08887342378617294,0.5466568721420761,1
0588_20180904_21_timeseries.mat,0.09129170876844325,0.6484153173214566,11,0.15763950135026658,0.2739592798919017,10,0.1442965932863215,1.1306114138893075,12,0.16170823405827245,-0.10485720580909799,9
0588_20180904_22_timeseries.mat,0.1982309300099601,2.1258761046073653,7,0.09516149227108274,0.16506456108098586,12,0.1348313591846785,1.666161905016715,0,0.11137620432324888,1.6051690557721203,2
0588_20180904_23_timeseries.mat,0.11382021120946913,1.9689857879163464,10,0.14064215775579214,-0.3968997546021239,38,0.0712643329689682,0.30196201657852245,12,0.2056032019111538,2.5311175393038163,27
